comparison,feature,reference_mean,comparison_mean,reference_std,comparison_std,psi,ks_statistic,ks_pvalue,js_divergence,standardized_mean_difference,shift_level
train_vs_validation,amount,161906.6107599679,169248.76650654458,269961.24680159613,252560.70055907272,0.008660853162137381,0.04233364327778172,2.266166827058204e-245,0.0001219618728012337,0.02808719549647379,low
train_vs_validation,oldbalanceOrg,885477.2173879473,906763.6518112201,2951706.8499719435,3143184.5826187497,0.0019193998061913318,0.017978367466959133,1.3651279333379738e-44,0.0001952271139294944,0.006981564110236512,low
train_vs_validation,oldbalanceDest,975083.3942919996,1017127.2131014472,2318239.9797078287,2301914.977490697,0.003774868221800243,0.029940633717187637,6.296114148383487e-123,0.00015031171422439304,0.018200063305200527,low
train_vs_validation,is_high_risk_type,0.43677053779335445,0.4605583768447655,0.49598631646423197,0.4984431191667485,0.0022880139418410767,0.02378783905141102,9.513079421999585e-78,0.0004125673109924957,0.04784204007361599,low
train_vs_validation,sender_prior_txn_count,0.0001414618251754365,0.00037193333810170946,0.011892940702102847,0.0192820324800212,0.0002228464266041151,0.0002304715129263224,1.0,3.853064280489834e-05,0.01438707487257055,low
train_vs_validation,receiver_prior_txn_count,4.295272155067591,5.095839591827003,6.569729851528522,7.290961116553105,0.01431786419393937,0.04395807007923458,1.5444049615045631e-264,0.002681093837883301,0.11536017060149162,low
train_vs_validation,sender_prior_volume,24.22189724149441,65.58194840617027,3597.0380985822467,5623.882952730099,0.00019990123274092085,0.0002320609716360833,1.0,3.1694347677056306e-05,0.008761745196808323,low
train_vs_validation,receiver_prior_volume,1198167.5209325196,1289873.6871247645,2300017.908078036,2278552.2188939983,0.0049589209122086675,0.03477417765380003,1.1058596598411153e-165,0.00033633751864542227,0.040058426892996844,low
train_vs_validation,sender_out_degree_prior,0.0001414618251754365,0.00037193333810170946,0.011892940702102847,0.0192820324800212,0.0002228464266041151,0.0002304715129263224,1.0,3.853064280489834e-05,0.01438707487257055,low
train_vs_validation,receiver_in_degree_prior,4.295272155067591,5.095839591827003,6.569729851528522,7.290961116553105,0.01431786419393937,0.04395807007923458,1.5444049615045631e-264,0.002681093837883301,0.11536017060149162,low
train_vs_validation,receiver_total_amount_prior,1198167.5209325196,1289873.6871247645,2300017.9080780363,2278552.2188939983,0.0049589209122086675,0.03477417765380003,1.1058596598411153e-165,0.00033633751864542227,0.040058426892996844,low
train_vs_validation,receiver_avg_amount_prior,144932.9106823583,140300.70856732177,194083.76161889746,173206.45663235278,0.017552562727253442,0.03434343434343434,1.2981686970599294e-161,9.438107802633728e-05,-0.025183012042136767,low
train_vs_validation,receiver_high_risk_txn_count_prior,2.9485984947826016,3.4994635576854303,4.539856150835503,5.100042798374194,0.013261289052129779,0.041937868059032546,8.232387960738325e-241,0.0023246869586248,0.11409607128552385,low
train_vs_validation,funnel_alert_v2,0.3214696135231147,0.36291633884080776,0.46704094874932306,0.4808421490837612,0.00763853165536438,0.04144672531769311,3.273112797873546e-235,0.0013768588647078872,0.08744186466934718,low
train_vs_validation,possible_mule_receiver_v2,0.31978478729068816,0.3611377345445009,0.4663934206779539,0.480331522372352,0.0076226526629907115,0.041352947253812666,3.772225687923278e-234,0.001373993189713057,0.08735053756597051,low
train_vs_test,amount,161906.6107599679,138366.27884924778,269961.24680159613,260747.79766306555,0.025833225609088614,0.052668303809137784,0.0,0.0005722566081610823,-0.08869939386097664,low
train_vs_test,oldbalanceOrg,885477.2173879473,806852.4177658249,2951706.8499719435,2851891.572840025,0.012901371508324143,0.0403150307162895,1.464687349893772e-222,0.0001302565444601695,-0.02709118303343833,low
train_vs_test,oldbalanceDest,975083.3942919996,948422.8504001144,2318239.9797078287,2225330.693728511,0.0003194103383653663,0.026755358462675516,3.025302933149836e-98,0.00015540331553090086,-0.01173305032983849,low
train_vs_test,is_high_risk_type,0.43677053779335445,0.42446176954438164,0.49598631646423197,0.49426221849414204,0.0006179564248793392,0.012308768248972868,3.967815133857302e-21,0.00011143589286926627,-0.024859919825010214,low
train_vs_test,sender_prior_txn_count,0.0001414618251754365,0.0004339222277853277,0.011892940702102847,0.02082632966948296,0.00032788553748933384,0.0002924604026099953,1.0,5.600241575560072e-05,0.0172457037245936,low
train_vs_test,receiver_prior_txn_count,4.295272155067591,4.875941158238562,6.569729851528522,7.357843495317071,0.012078792177073961,0.03196719357222899,4.479754629832998e-140,0.0023901427828254738,0.08325090848957731,low
train_vs_test,sender_prior_volume,24.22189724149441,54.60779138354434,3597.0380985822467,4502.991711155697,0.00012081393585480729,0.0002924604026099953,1.0,1.923391595627189e-05,0.0074561708947452005,low
train_vs_test,receiver_prior_volume,1198167.5209325196,1212438.7161755238,2300017.908078036,2229099.4093681825,0.00041047331287772846,0.009242702397698477,4.239390934128519e-12,0.00023340331685500613,0.006301203979030849,low
train_vs_test,sender_out_degree_prior,0.0001414618251754365,0.0004339222277853277,0.011892940702102847,0.02082632966948296,0.00032788553748933384,0.0002924604026099953,1.0,5.600241575560072e-05,0.0172457037245936,low
train_vs_test,receiver_in_degree_prior,4.295272155067591,4.875941158238562,6.569729851528522,7.357843495317071,0.012078792177073961,0.03196719357222899,4.479754629832998e-140,0.0023901427828254738,0.08325090848957731,low
train_vs_test,receiver_total_amount_prior,1198167.5209325196,1212438.7161755238,2300017.9080780363,2229099.4093681825,0.00041047331287772846,0.009242702397698477,4.239390934128519e-12,0.00023340331685500613,0.006301203979030849,low
train_vs_test,receiver_avg_amount_prior,144932.9106823583,127330.70673569152,194083.76161889746,157603.0573180891,0.021069344472634713,0.0419601204809702,4.5736755031103424e-241,0.000500926781658966,-0.09956734322812329,low
train_vs_test,receiver_high_risk_txn_count_prior,2.9485984947826016,3.350780821591207,4.539856150835503,5.133349238125805,0.010050847036721388,0.029996264772031878,2.2046835232647367e-123,0.001979478495528443,0.08299781979547685,low
train_vs_test,funnel_alert_v2,0.3214696135231147,0.3404191402617838,0.46704094874932306,0.4738512634494508,0.0016220660369911182,0.01894952673866923,1.7166541840142434e-49,0.00029248468415629414,0.04027885473498367,low
train_vs_test,possible_mule_receiver_v2,0.31978478729068816,0.3389647855422836,0.4663934206779539,0.4733589844383773,0.0016657851330887413,0.019179998251595443,1.081100582116604e-50,0.000300366881993238,0.04081813741146186,low
